id,title,source,eldruin_confidence,eldruin_confidence_std,eldruin_confidence_source,eldruin_verifiable,eldruin_compute_trace,eldruin_verif_score,eldruin_kg_score,eldruin_entity_invented,eldruin_cjk_leaks,gpt_n_samples,gpt_mean_confidence,gpt_conf_std,gpt_confidence_source,gpt_verifiable,gpt_compute_trace,gpt_numeric_violations,gpt_meta_violations
brexit_withdrawal_2020,"UK and EU Finalise Brexit Withdrawal Agreement, Northern Ire…",Financial Times,0.26,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.6235,0.3,0.8,✅ No,0,5,0.672,0.0192,self-reported (LLM),❌ No,N/A,0,0
hk_protests_2019,Hong Kong Anti-Extradition Protests Escalate as Police Deplo…,BBC News,0.203,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.6876,0.3,0.4,✅ No,0,5,0.67,0.0224,self-reported (LLM),❌ No,N/A,0,0
huawei_ban_2019,Trump Administration Places Huawei on Export Blacklist,Center for Strategic and International Studies,0.298,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.7151,0.3,0.8,✅ No,0,5,0.658,0.0192,self-reported (LLM),❌ No,N/A,0,0
information_warfare_disinformation_2024,European Governments Dismantle Russian Disinformation Networ…,Brookings Institution,0.342,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.3443,0.65,1.0,✅ No,0,5,0.64,0.0158,self-reported (LLM),❌ No,N/A,0,0
nato_eastern_flank_2022,"NATO Activates Response Force, Strengthens Eastern Flank Aft…",NATO,0.382,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.6235,0.65,0.8,✅ No,0,5,0.78,0.0158,self-reported (LLM),❌ No,N/A,0,0
russia_swift_2022,West Cuts Off Seven Russian Banks from SWIFT as Invasion Tri…,Financial Times,0.306,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.7334,0.3,0.8,✅ No,0,5,0.738,0.0259,self-reported (LLM),❌ No,N/A,0,0
russia_ukraine_energy_2022,Russia Cuts Gas Supply to Europe via Nord Stream 1 to 20% of…,Brookings Institution,0.174,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.0062,0.3,0.8,✅ No,0,5,0.72,0.0224,self-reported (LLM),❌ No,N/A,0,0
russia_ukraine_invasion_2022,Russia Launches Full-Scale Invasion of Ukraine; Explosions R…,Reuters,0.45,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.7334,0.65,0.8,✅ No,0,5,0.75,0.0224,self-reported (LLM),❌ No,N/A,0,0
sco_expansion_2023,SCO Admits Iran as Full Member; Saudi Arabia and UAE Join as…,Brookings Institution,0.174,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.0062,0.3,0.8,✅ No,0,5,0.632,0.0192,self-reported (LLM),❌ No,N/A,0,0
semiconductor_supply_chain_2021,Global Chip Shortage Forces Auto Plant Shutdowns Across Thre…,Wall Street Journal,0.174,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.0062,0.3,0.8,✅ No,0,5,0.698,0.0192,self-reported (LLM),❌ No,N/A,0,0
taiwan_military_drills_2022,China Launches Military Exercises Around Taiwan in Response …,BBC News,0.233,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.2388,0.3,1.0,✅ No,0,5,0.646,0.0207,self-reported (LLM),❌ No,N/A,0,0
us_china_chips_2023,US Expands Chip Export Controls Targeting China's AI Industr…,Reuters,0.174,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.0062,0.3,0.8,✅ No,0,5,0.692,0.0277,self-reported (LLM),❌ No,N/A,0,0
us_china_trade_tariffs_2018,"US Imposes 25% Tariffs on $50 Billion of Chinese Goods, Beij…",Reuters,0.174,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.0062,0.3,0.8,✅ No,0,5,0.608,0.0192,self-reported (LLM),❌ No,N/A,0,0
wuhan_covid_2019,China Reports Cluster of Pneumonia Cases of Unknown Cause in…,World Health Organization,0.174,0.0,ontology_prior × bayesian_posterior,✅ Yes,bayesian_posterior|Z=0.0062,0.3,0.8,✅ No,0,5,0.716,0.027,self-reported (LLM),❌ No,N/A,0,0
